TXNAME	GENEID	R1_H1975.bam	R2_H1975.bam	R3_H1975.bam	R1_HCC827.bam	R2_HCC827.bam	R3_HCC827.bam
ENST00000489848	ENSG00000163608	1	1	1	1	0	0
ENST00000489850	ENSG00000146909	1	0.5	0	0	0	0.5
ENST00000489852	ENSG00000196636	1	2	2	0	0	0
ENST00000489856	ENSG00000105974	0	0	7	0	0	0
ENST00000489864	ENSG00000291300	1	0	1	0	0	0
ENST00000489870	ENSG00000163468	0	0	0	0.0322	0	0
ENST00000489883	ENSG00000106628	0	0	0.00004	136	289	89
ENST00000489903	ENSG00000159200	0	0	0	0	0	0.5
ENST00000489912	ENSG00000181817	0	0	0	1	0	0
ENST00000489914	ENSG00000115289	0	0	0.00529	0	0	0
ENST00000489915	ENSG00000235552	77	50	69	10	448	65
ENST00000489919	ENSG00000162366	4	8	9	490	369	489
ENST00000489923	ENSG00000065485	1	2	5	0	1	0
ENST00000489942	ENSG00000137267	11	20	17	2	0	1
ENST00000489964	ENSG00000115866	0	0	0.03327	0	0	0
ENST00000489992	ENSG00000160688	2	2	2	2	10	2
ENST00000489996	ENSG00000062650	0	0	0	0	0.4027	0
ENST00000489999	ENSG00000186854	5	2	5	7	6	11
ENST00000490008	ENSG00000114744	0.27818	26	0	1.29543	1	5
ENST00000490010	ENSG00000134900	6	6	4	8	9	6
ENST00000490029	ENSG00000134697	4	0	0	0	0	0
ENST00000490055	ENSG00000148814	1	0	1	0	0	1
ENST00000490064	ENSG00000159214	5	3	5	7	2	1
ENST00000490065	ENSG00000054282	0	2	0	0	0	0
ENST00000490067	ENSG00000007341	0	1	1	0	0	0
ENST00000490078	ENSG00000184831	1	7	8	0	3	1
ENST00000490091	ENSG00000184787	0	2	0	2	0	3
ENST00000490094	ENSG00000021355	0	0	0	0	1	0
ENST00000490098	ENSG00000135778	0	0	0	0	23.09291	0
ENST00000490103	ENSG00000100296	137	140	112	96	70	153
ENST00000490104	ENSG00000211460	0	4	0	1	0	0
ENST00000490106	ENSG00000091542	2.8714	10.38368	18.45304	6.8227	7.91562	3.9024
ENST00000490115	ENSG00000114268	1	0	0	0	0	0
ENST00000490123	ENSG00000290720	16	21	18	0	0	0
ENST00000490140	ENSG00000160752	0	0	0	0	0.00005	0
ENST00000490162	ENSG00000228742	10	6	9	4	0	2
ENST00000490164	ENSG00000180628	198	214	192	67	28	47
ENST00000490169	ENSG00000100221	0	1	1	1	0	1
ENST00000490173	ENSG00000204209	4.9862	0	0	0	0	0.74333
ENST00000490175	ENSG00000089006	353	328	371	234	106	218
ENST00000490187	ENSG00000197586	0	6.98842	5.72905	0	0	8.86655
ENST00000490191	ENSG00000231500	2172.61352	0	3639.85207	2.72616	2.17112	4353.07516
ENST00000490202	ENSG00000068438	0	0	0	0	1	0
ENST00000490208	ENSG00000243660	36	36	46	11	11	13
ENST00000490217	ENSG00000115827	0	1	0	0	0	0
ENST00000490222	ENSG00000137269	1.08791	0.28511	0	0	0	0
ENST00000490223	ENSG00000174748	0.08112	0	0	0	0	0
ENST00000490224	ENSG00000114331	2	0	3	2	1	0
ENST00000490241	ENSG00000138835	0	0	0	0	0.15137	0
ENST00000490244	ENSG00000243989	0	0.00001	0.00001	0.00002	0.00001	0
ENST00000490249	ENSG00000132676	0	4	1	3	2	0
ENST00000490250	ENSG00000197818	1	0	0	0	0	0
ENST00000490251	ENSG00000106603	2.81331	2.89101	3.02336	3.72001	22.41451	3.0917
ENST00000490264	ENSG00000168301	1	3	5	0	0	0
ENST00000490272	ENSG00000198464	13	5	3	1	0	2
ENST00000490273	ENSG00000137266	0	0	0	2	0	0
ENST00000490289	ENSG00000244687	1	1	3	1	1	3
ENST00000490291	ENSG00000042445	0	1	0	0	0	0
ENST00000490295	ENSG00000126705	0.2865	0	0	0	0	0
ENST00000490319	ENSG00000197971	2.32895	5.10521	2	0	0	0
ENST00000490321	ENSG00000106733	153	123	125	138	103	132
ENST00000490323	ENSG00000136682	366.42108	406.33381	398.63765	359.74304	239.80601	267.8868
ENST00000490329	ENSG00000090020	6	6	5	0	3	2
ENST00000490335	ENSG00000198755	21	25	38	36	17	20
ENST00000490351	ENSG00000240922	0	0	0	0	0	1
ENST00000490364	ENSG00000136518	0	0.97871	0	0	0	0
ENST00000490373	ENSG00000160753	51	49	47	16	13	25
ENST00000490392	ENSG00000133027	0	0	0	1	0	0
ENST00000490395	ENSG00000214941	1	3	2	9	5	14
ENST00000490408	ENSG00000176386	3	8	2	2	4	1
ENST00000490419	ENSG00000108511	0	0	0	2	0	0
ENST00000490426	ENSG00000119185	98	94	93	36	44	30
ENST00000490434	ENSG00000145088	1	3	5	2	1	2
ENST00000490437	ENSG00000075142	1	2	4	45	17	42
ENST00000490447	ENSG00000137207	8	18	12	27	7	24
ENST00000490450	ENSG00000184787	1.70889	1	0	0	0	0
ENST00000490451	ENSG00000235034	0	1	0	1	0	1
ENST00000490452	ENSG00000058866	14.83167	20.15801	15.34676	12.0199	8.38098	6.53791
ENST00000490459	ENSG00000162959	1	2	1	0	0	1
ENST00000490460	ENSG00000095794	5	3	3	2	0	0
ENST00000490467	ENSG00000073711	4	2	1	1	0	0
ENST00000490472	ENSG00000158163	0	0.60748	0	0	0	0
ENST00000490488	ENSG00000165233	279	282	271	163	113	122
ENST00000490491	ENSG00000260238	108	133	106	353	248	361
ENST00000490504	ENSG00000114054	3	5	2	1	1	3
ENST00000490506	ENSG00000092036	4	4	4	9	4	4
ENST00000490511	ENSG00000095794	5	2	4	1	0	0
ENST00000490528	ENSG00000160993	6	6	2	4	4	8
ENST00000490537	ENSG00000120699	0	0	1	1	0	0
ENST00000490543	ENSG00000133226	17	23	16	37	19	21
ENST00000490544	ENSG00000157653	0	1	1	0	0	0
ENST00000490549	ENSG00000151025	0	0	0	0	0	1
ENST00000490553	ENSG00000163162	0	0	0	0.10182	0.25458	0
ENST00000490555	ENSG00000244687	6	3	5	1	0	2
ENST00000490569	ENSG00000156508	13	8	9	12	2	8
ENST00000490574	ENSG00000114354	70.99997	76	68	34	23	34
ENST00000490576	ENSG00000138061	3	4	2	0	2	0
ENST00000490578	ENSG00000137133	0.20711	0	0.13156	0	0	0
ENST00000490597	ENSG00000093167	5	8	6	3	2	0
ENST00000490599	ENSG00000130958	0	0	0	1	0	0
ENST00000490612	ENSG00000204120	0	0	2	0	0	0
ENST00000490617	ENSG00000176896	2	1	1	1	0	0
ENST00000490620	ENSG00000082497	0	1	0	0	0	0
ENST00000490628	ENSG00000167110	24.28417	48.02897	0	91.21222	0	0
ENST00000490633	ENSG00000188186	0	2	3	2	1	0
ENST00000490644	ENSG00000133142	25	29	14	12	8	22
ENST00000490645	ENSG00000150722	6	1	0	1	0	0
ENST00000490649	ENSG00000197756	0.02697	0.00001	0.05059	0	0.04956	0.07163
ENST00000490652	ENSG00000125944	0.00002	6.65449	18.40526	19.70306	13.8451	15.3219
ENST00000490656	ENSG00000189077	0	0	0	1	0	0
ENST00000490660	ENSG00000166484	0	0	1	0	0	1
ENST00000490668	ENSG00000116560	0	1	0	0	0	0
ENST00000490669	ENSG00000171988	0.38843	0	0	0	0	0
ENST00000490673	ENSG00000054277	57	49	49	8	1	6
ENST00000490680	ENSG00000065150	3.10384	11.9489	12.21543	4.15323	11	3.21673
ENST00000490682	ENSG00000064012	115	95	93	106	45	71
ENST00000490688	ENSG00000103852	0	0	0.20105	0	0	0
ENST00000490690	ENSG00000138771	5	0	0	5	0	2
ENST00000490691	ENSG00000170364	8	4	13	3	1	3
ENST00000490693	ENSG00000198898	24.86749	17.5818	25.10707	8.71936	30.3021	2.76852
ENST00000490703	ENSG00000169221	0	0	2	1	0	0
ENST00000490707	ENSG00000149043	1	0	0	0	1	0
ENST00000490714	ENSG00000205758	0	0	0	2.99508	0.0811	0
ENST00000490724	ENSG00000162755	72	77	51	2	2	10
ENST00000490728	ENSG00000136002	0	0	0	0	1	0
ENST00000490730	ENSG00000181392	1	0	0	0	2	2
ENST00000490732	ENSG00000117543	1	0	2	0	0	0
ENST00000490734	ENSG00000136279	1	0	3	0	0	1
ENST00000490738	ENSG00000171735	226	278	257	191	117	118
ENST00000490753	ENSG00000101361	0	0	0	32.56342	0.00014	0.00018
ENST00000490754	ENSG00000197971	2	0	0	0	0	0
ENST00000490759	ENSG00000241680	1	1	0	1	3	1
ENST00000490764	ENSG00000077044	1	3	1	4	3	5
ENST00000490776	ENSG00000122642	51	55	51	5	3	1
ENST00000490780	ENSG00000156171	9	8	9	2	0	2
ENST00000490783	ENSG00000127129	1	0	0	0	0	0
ENST00000490804	ENSG00000163930	0.10533	1.53764	0.32388	0.10813	0.13523	0
ENST00000490807	ENSG00000135778	105	105	96	19	13	24
ENST00000490809	ENSG00000136867	7	1	5	2	4	2
ENST00000490820	ENSG00000137504	0	0	1	2	1	0
ENST00000490826	ENSG00000134684	0	0	0	31.14652	107.28595	0
ENST00000490830	ENSG00000148985	4	2	1	2	1	1
ENST00000490838	ENSG00000125877	17	14	17	11	4	8
ENST00000490841	ENSG00000136754	0	0	0	1	0	0
ENST00000490844	ENSG00000197444	0	0	0	0	1.98471	0
ENST00000490851	ENSG00000048052	0	0	0.62583	0	0	0
ENST00000490857	ENSG00000168958	0.00001	0.00001	0.00001	0.00001	20.94863	0.00001
ENST00000490868	ENSG00000105568	1	2	1	1	0	0
ENST00000490870	ENSG00000143106	1	3	1	0	0	0
ENST00000490893	ENSG00000171469	0	0	0	0	2	1
ENST00000490913	ENSG00000106012	1.92217	0	0	1.33664	0	0
ENST00000490920	ENSG00000285756	4	1	0	3	0	1
ENST00000490927	ENSG00000144306	3	0	1	0	0	0
ENST00000490939	ENSG00000293489	1	0	0	0	0	0
ENST00000490942	ENSG00000164548	0	0	1	0	0	0
ENST00000490945	ENSG00000120742	103	64	72	17	21	24
ENST00000490950	ENSG00000222005	0	0	1	0	0	0
ENST00000490955	ENSG00000188092	0	0	0	0	0.15759	0
ENST00000490958	ENSG00000163882	0	0	0	0	0.02086	0
ENST00000490965	ENSG00000003402	16	12	16	17	28	22
ENST00000490967	ENSG00000198832	23	0	0	0	0	0
ENST00000490969	ENSG00000164975	9	1.03425	9.8053	5.64627	1	4
ENST00000490970	ENSG00000137135	0	0	0	1	1	0
ENST00000490972	ENSG00000158169	3	0	2	1	0	5
ENST00000490975	ENSG00000070087	4	2	0	0	0	0
ENST00000490976	ENSG00000183337	0.16042	0	0	0	0	0
ENST00000490980	ENSG00000165879	2	0	0	0	1	2
ENST00000490986	ENSG00000239382	3	1	2	1	3	2
ENST00000490989	ENSG00000136603	1	5	5	0	0	1
ENST00000490996	ENSG00000136240	21	22	16	16	19	12
ENST00000490998	ENSG00000124357	0.64726	3.44099	5.79095	1.50087	3.23494	1.05844
ENST00000491000	ENSG00000163617	1	1	0	0	0	0
ENST00000491009	ENSG00000175061	73	51	44	71	41	39
ENST00000491015	ENSG00000198768	0	0	0	1	0	0
ENST00000491021	ENSG00000100227	0	0	0	0	0	1
ENST00000491033	ENSG00000128609	2.70111	0	0	0	0	1.92973
ENST00000491035	ENSG00000147403	27	16	33	33	16	37
ENST00000491039	ENSG00000188706	0	0	1	0	0	1
ENST00000491062	ENSG00000114416	7	1	2	1	5	3
ENST00000491064	ENSG00000144579	0	3	2	0	0	0
ENST00000491082	ENSG00000160767	3	2	1	1	0	0
ENST00000491084	ENSG00000163463	19	29	28	19	14	9
ENST00000491093	ENSG00000168301	0	2	0	0	0	0
ENST00000491099	ENSG00000135999	0	0.73929	0	0	0	0.71075
ENST00000491100	ENSG00000114353	0	1	0	0	0	0
ENST00000491101	ENSG00000203326	4	0	1	0	0	3
ENST00000491103	ENSG00000137210	0	0	1	1	0	0
ENST00000491106	ENSG00000060688	0	0	2	0	0	0
ENST00000491108	ENSG00000128805	2	1	1	0	0	0
ENST00000491124	ENSG00000197959	0	0	1.03788	0	0	0
ENST00000491125	ENSG00000101019	2	0	2	1	0	2
ENST00000491128	ENSG00000136699	1.19901	0	0.60595	0.89479	0	1.99846
ENST00000491133	ENSG00000106948	0	0.69067	0	0	0	0
ENST00000491142	ENSG00000100099	1	0	0	0	1	0
ENST00000491143	ENSG00000119547	3	0	1	0	0	2
ENST00000491163	ENSG00000146540	0	0	0.00156	0	0.04132	1.39636
ENST00000491169	ENSG00000162892	9	9	4	0	0	0
ENST00000491173	ENSG00000204576	1.10832	5.01274	0	0	0	0
ENST00000491182	ENSG00000163762	0.6253	2.14435	0	0.36126	2.76897	2.23251
ENST00000491202	ENSG00000136518	84.12561	55.61438	73.24741	64.14296	75.6718	57.24543
ENST00000491216	ENSG00000125505	0.80588	0	0	0	0	0
ENST00000491229	ENSG00000173692	0	0	0	0	0	1.27518
ENST00000491231	ENSG00000162236	1	3	2	5	0	4
ENST00000491236	ENSG00000102317	0	0	0.00589	0	0	0
ENST00000491238	ENSG00000114861	2	2.09785	3	5	0	3
ENST00000491253	ENSG00000130962	1	0	0	0	0	0
ENST00000491254	ENSG00000100410	9	8	0.01815	1	0.02213	2
ENST00000491258	ENSG00000173889	0	0	0.42679	0	0	0
ENST00000491265	ENSG00000173272	0	0	0	0.34813	0	0.17125
ENST00000491268	ENSG00000155906	0	0.14514	0	0.04753	0.05846	0
ENST00000491272	ENSG00000168610	1	0	0	1	0	0
ENST00000491275	ENSG00000198157	2	0	0	0	0	0
ENST00000491277	ENSG00000152104	1	0	0	1	0	1
ENST00000491286	ENSG00000213397	2	0	2	1	2	1
ENST00000491292	ENSG00000163161	0	0	0	3.34871	0	0
ENST00000491294	ENSG00000130429	1	0.01543	0	0	0	0
ENST00000491300	ENSG00000126088	0	0	0	1	0	0
ENST00000491306	ENSG00000197756	110729	87887	91475	245082	192039	159401
ENST00000491313	ENSG00000052749	3	0	0.34904	3.68606	9.94609	0.64756
ENST00000491317	ENSG00000183674	3	1	1	0	0	0
ENST00000491331	ENSG00000173559	0	1	0	0	0	0
ENST00000491335	ENSG00000065518	209	189	158	141	35	74
ENST00000491337	ENSG00000197472	3	3	1	1	3	1
ENST00000491346	ENSG00000177674	2	0	0	0	0	1
ENST00000491356	ENSG00000196418	7	4	2	2	2	2
ENST00000491359	ENSG00000148399	0	2	0	0	0	0
ENST00000491366	ENSG00000121542	0	0	0	2	0	0
ENST00000491380	ENSG00000163728	3	0	0	0	0	0
ENST00000491381	ENSG00000124104	2	3	0	0	0	0.90838
ENST00000491382	ENSG00000204220	0	0	0	0	0	0.37715
ENST00000491389	ENSG00000160310	0	0	0.00001	0.00001	0.00001	0
ENST00000491395	ENSG00000142192	0.08256	0.27265	0	0.7432	4.2622	0.20845
ENST00000491397	ENSG00000240038	0	0	0	0	0	1
ENST00000491398	ENSG00000144840	9	6	14	3	3	1
ENST00000491402	ENSG00000100483	1	1	0	0	0	0
ENST00000491404	ENSG00000156508	1	0	0	0	0	3
ENST00000491407	ENSG00000160813	0	1	0	1	1	0
ENST00000491410	ENSG00000078618	1559	1148.4978	1362	2749.48865	2746.30023	1264.40579
ENST00000491415	ENSG00000117597	93	103	81	63	18	69
ENST00000491421	ENSG00000204392	4	4	9	4	1	3
ENST00000491426	ENSG00000178104	2	1	0	0	0	0
ENST00000491430	ENSG00000168264	11	24	14	8	1	5
ENST00000491431	ENSG00000197362	1	5	3	0	0	0
ENST00000491434	ENSG00000160055	1	1	4	0	0	2
ENST00000491435	ENSG00000244021	1	1	1	2	2	2
ENST00000491440	ENSG00000172878	0	0	0	2	1	0
ENST00000491442	ENSG00000127124	2.83114	1.91353	0	0.97129	0.98739	1.76761
ENST00000491443	ENSG00000126070	0	0	0	0	1	0
ENST00000491445	ENSG00000136937	0	0	0	1	0	0
ENST00000491448	ENSG00000121964	0	0	1	0	0	0
ENST00000491458	ENSG00000065809	1	0	0	0	0	0
ENST00000491462	ENSG00000119457	0	1	0	0	0	0
ENST00000491467	ENSG00000196220	0	0	0	0	0.34113	1
ENST00000491469	ENSG00000101134	7	3	7	0	5	1
ENST00000491470	ENSG00000248487	4	0	1	7	3	5
ENST00000491476	ENSG00000075914	108	86	77	58	39	73
ENST00000491477	ENSG00000241370	3	2	2	3	0	2
ENST00000491488	ENSG00000137106	42	49	39	49	22	31
ENST00000491511	ENSG00000144815	1	2	0	0	0	0
ENST00000491513	ENSG00000184787	0	0	1	1	0	1
ENST00000491526	ENSG00000135540	0	0	1	0	0	0
ENST00000491539	ENSG00000158092	1	0	0	0	0	1
ENST00000491542	ENSG00000136758	2	1	0	0	0	3
ENST00000491555	ENSG00000065150	0	0	1.2328	0	0	0
ENST00000491557	ENSG00000237149	0	0	0	1	0	0
ENST00000491560	ENSG00000241468	1647.32991	1198.98848	1550.37941	1526.15685	901.63929	1129.17428
ENST00000491565	ENSG00000164631	2	1	2	1	0	1
ENST00000491568	ENSG00000102401	2	6.99999	5	9	1	6
ENST00000491569	ENSG00000071553	5.44225	0	8.29779	16.43282	14.36018	7.83236
ENST00000491570	ENSG00000117477	0	0	0	0	1	0
ENST00000491577	ENSG00000180098	1	0	1	0	0	0
ENST00000491580	ENSG00000144827	8	4	10	0	0	1
ENST00000491582	ENSG00000128590	10	2.0731	1.41882	0.70335	2	1.79372
ENST00000491595	ENSG00000086730	0	0	1	0	0	0
ENST00000491606	ENSG00000016864	34	37	20	5	6	10
ENST00000491607	ENSG00000168273	130	124	90	37	16	24
ENST00000491609	ENSG00000101928	0	2	0	0	0	0
ENST00000491614	ENSG00000165609	1	0	0	0	0	0
ENST00000491617	ENSG00000114744	32	26	30	27	2	18
ENST00000491631	ENSG00000214941	67	65	54	54	28	42
ENST00000491638	ENSG00000168256	1	4	2	4	3	6
ENST00000491665	ENSG00000266967	0	0	0	0.17407	0.15543	0
ENST00000491668	ENSG00000058262	0.02064	0	0	0	0	0
ENST00000491676	ENSG00000242522	0	0	0	1	0	0
ENST00000491687	ENSG00000165282	1	0	0	0	0	1
ENST00000491697	ENSG00000115661	11	12	0	22	3	9
ENST00000491699	ENSG00000058063	0	0	0.30282	0	0	0
ENST00000491700	ENSG00000116774	2.36465	0	0	0	0	0
ENST00000491704	ENSG00000114098	8	11	5	0	1	4
ENST00000491714	ENSG00000079482	7	2	1	3	0	0
ENST00000491729	ENSG00000160285	0	0	0	1	0	0
ENST00000491735	ENSG00000067064	0	4	2	0	0	0
ENST00000491739	ENSG00000178467	1	0	0	1	1	0
ENST00000491741	ENSG00000085662	0	0.5	0	0	0	0
ENST00000491763	ENSG00000197980	2	1	0	0	0	0
ENST00000491765	ENSG00000172428	0	0	0	0	71.7244	0
ENST00000491767	ENSG00000178053	4	7	4	3	2	2
ENST00000491768	ENSG00000204386	7	3	6	5	1	5
ENST00000491771	ENSG00000123609	0	0	1	0	0	0
ENST00000491773	ENSG00000126088	1	0	0	0	1	1
ENST00000491777	ENSG00000132676	2	0	0	0	0	0
ENST00000491788	ENSG00000186532	0	0	0	0	2	0
ENST00000491793	ENSG00000162366	1.04101	0	0	0	0	0
ENST00000491794	ENSG00000159140	0.70958	2.79918	4.73316	0	1.69851	1.95759
ENST00000491805	ENSG00000133104	0	0	0	0	3	0
ENST00000491811	ENSG00000116729	0	0	0	0	1	6
ENST00000491818	ENSG00000121864	14	23	4	1	0	4
ENST00000491820	ENSG00000114455	0	0	0	7	1	2
ENST00000491835	ENSG00000089050	8	6	5	14	4	15
ENST00000491847	ENSG00000114737	0	2.71633	0.15571	4.01612	6.68351	0.88444
ENST00000491848	ENSG00000196418	0	0	2	0	0	2
ENST00000491861	ENSG00000204344	81	98	80	94	79	112
ENST00000491862	ENSG00000243069	1	0	0	0	0	0
ENST00000491873	ENSG00000205981	15	15	12	30	6	13
ENST00000491885	ENSG00000010810	0	0	0	0	1	0
ENST00000491890	ENSG00000171224	7	10	5	5	2	8
ENST00000491894	ENSG00000065923	0	3	0	0	0	1
ENST00000491895	ENSG00000131979	5	4	5	1	2	4
ENST00000491908	ENSG00000198420	3	2	3	0	0	0
ENST00000491920	ENSG00000197150	0	0	0	1	0	0
ENST00000491934	ENSG00000168209	0	5	0	8	7	0
ENST00000491936	ENSG00000183726	27	16	13	5	2	2
ENST00000491941	ENSG00000142606	0	0	0	0	1	0
ENST00000491954	ENSG00000148337	0.89449	0	0	0.85214	0	0
ENST00000491955	ENSG00000130830	0	0	0	0	6.71085	0
ENST00000491958	ENSG00000198832	103	99	95	13	7	13
ENST00000491973	ENSG00000198089	0.43875	0.2845	0	0	0	0
ENST00000491974	ENSG00000188004	1	0	2	0	0	0
ENST00000491976	ENSG00000168528	0	0	1	0	0	0
ENST00000491989	ENSG00000135940	0	0	0	3	2	0
ENST00000491994	ENSG00000204351	0	0	0.01355	0.07696	0	0
ENST00000491996	ENSG00000177483	2	0	0	0	0	0
ENST00000492007	ENSG00000176261	19	7	19	2	4	6
ENST00000492038	ENSG00000101901	0	3	3	3	0	0
ENST00000492040	ENSG00000239791	3	2	1.98846	0	1	0
ENST00000492067	ENSG00000117543	1	0	0	0	0	0
ENST00000492068	ENSG00000107317	6.95344	4.86437	0	0	0	0
ENST00000492077	ENSG00000177479	0	0	0	4	0	0.05966
ENST00000492081	ENSG00000123130	15	10	9	0	0	1
ENST00000492084	ENSG00000204427	1	0	3	1	0	0
ENST00000492103	ENSG00000171148	0	0	0	1.99966	48.30369	1.76065
ENST00000492115	ENSG00000175787	0.76803	0	0	0	0	0
ENST00000492116	ENSG00000123562	23	17	19	51	12	19
ENST00000492129	ENSG00000141127	0.5	0	0	0	0	0
ENST00000492132	ENSG00000198843	0	0	1	0	0	0
ENST00000492135	ENSG00000101361	80	64	65	58	33	44
ENST00000492137	ENSG00000100109	1.435	0.27657	2.90324	0.32594	0.33035	0.38466
ENST00000492141	ENSG00000002330	0	1	0	1	0	2
ENST00000492155	ENSG00000151474	2	0	0	0	0	0
ENST00000492164	ENSG00000113845	51	44	35	8	2	8
ENST00000492165	ENSG00000169379	13	0	0	0	3	0
ENST00000492182	ENSG00000082898	0.34524	0	0	0	0	0
ENST00000492189	ENSG00000256053	2	5	14	3	3	3
ENST00000492196	ENSG00000163798	1	0	0	0	0	0
ENST00000492201	ENSG00000152457	1	0	0	0	0	0
ENST00000492213	ENSG00000100142	91	95	82	28	8	24
ENST00000492223	ENSG00000134330	15	8	11	5	4	3
ENST00000492230	ENSG00000177599	3	4	16	0	0	0
ENST00000492235	ENSG00000213689	3	1	1	2	3	5
ENST00000492239	ENSG00000267673	4	12	13	27	29	16
ENST00000492242	ENSG00000125841	114	115	140	76	33	119
ENST00000492245	ENSG00000150459	1	0	0	1	2	2
ENST00000492264	ENSG00000241258	0	0	0	0	3	0
ENST00000492267	ENSG00000241095	0	0	1	0	0	0
ENST00000492270	ENSG00000169062	2	0.15091	2	7	7	4
ENST00000492273	ENSG00000100364	3	2	2	0	0	0
ENST00000492277	ENSG00000162244	4.92337	6.30449	0	5.38575	0	14.64863
ENST00000492321	ENSG00000122678	1	0	0	0	0	0
ENST00000492328	ENSG00000213988	7	8	2	0	0	0
ENST00000492336	ENSG00000159256	0	0	0	0.67697	0	0
ENST00000492343	ENSG00000074800	0.00018	0.00011	2.76149	0	0	386.43174
ENST00000492349	ENSG00000163938	1	1	1	0	0	0
ENST00000492356	ENSG00000171858	4.93137	0.00044	9.60493	0.37758	0	0
ENST00000492361	ENSG00000028137	0	0	0	0	0	1
ENST00000492363	ENSG00000003400	0	1	0	0	0	0
ENST00000492364	ENSG00000131828	0	0	0	7	0	0
ENST00000492366	ENSG00000164039	0	0	0	1	0	0
ENST00000492367	ENSG00000104805	6	4	0	0	2.8454	0
ENST00000492371	ENSG00000244687	0	0	1	0	0	0
ENST00000492372	ENSG00000130826	0	0	0	0	0	30.40076
ENST00000492375	ENSG00000155368	16	9	8	0	0	18
ENST00000492378	ENSG00000125166	2	3	3	3.98582	7.14002	0.00881
ENST00000492380	ENSG00000138279	0	1	2	0	0	0
ENST00000492381	ENSG00000099917	4.78983	0.44079	1.22559	0	0.44951	0.89046
ENST00000492386	ENSG00000187764	0	1	1	0	0	0
ENST00000492391	ENSG00000164610	1	1	0	0	0	0
ENST00000492394	ENSG00000163848	0	6	7	1	0	0
ENST00000492406	ENSG00000138459	14	4	12	5	1	4
ENST00000492434	ENSG00000196517	0	0	0	1	0	0
ENST00000492437	ENSG00000010072	0	0.46245	0	3.22799	12.95456	0
ENST00000492443	ENSG00000138061	1	4	0	0	0	0
ENST00000492450	ENSG00000197841	0	0.85623	1	0	0	0
ENST00000492456	ENSG00000146463	0	0	0	1.30768	0	0
ENST00000492465	ENSG00000269609	0	1	0	0	0	0
ENST00000492466	ENSG00000184402	1	2.81802	0	1	3	2
ENST00000492468	ENSG00000090621	0	0	0	0	0.01099	0
ENST00000492474	ENSG00000076242	3	4	1	0	0	0
ENST00000492488	ENSG00000168395	8.23642	3.87311	3.30869	0.44272	0	0
ENST00000492495	ENSG00000155846	0	0	0	0	0.14183	0
ENST00000492498	ENSG00000101146	4	1	3	0	0	0
ENST00000492508	ENSG00000242485	0	0	2	1	0	0
ENST00000492514	ENSG00000157538	0	0	0	0	0	0.14847
ENST00000492519	ENSG00000090621	0	0	0	0.16792	0	0
ENST00000492525	ENSG00000241511	0	0	0	3	0	0
ENST00000492526	ENSG00000137776	1	0	0	0	0	0
ENST00000492540	ENSG00000054148	0	0	2	2	2	5
ENST00000492563	ENSG00000043093	1	3	2	0	0	0
ENST00000492575	ENSG00000112812	42	52	49	112	49	109
ENST00000492577	ENSG00000011009	3	0	1	0	0	1
ENST00000492582	ENSG00000100288	3.31895	0	3.66125	1.39321	2.97151	0
ENST00000492588	ENSG00000171159	5	2	0	3	2	3
ENST00000492595	ENSG00000121542	160	172	147	80	62	109
ENST00000492600	ENSG00000159200	0	0	0	0.96629	0	0
ENST00000492601	ENSG00000198964	1	2	2	3	0	2
ENST00000492611	ENSG00000087495	2	2	3	3	1	0
ENST00000492622	ENSG00000102531	0	2	0	0	0	0
ENST00000492623	ENSG00000230291	0	0	0	1	2	0
ENST00000492639	ENSG00000122481	3	1	1	3	0	1
ENST00000492641	ENSG00000243680	1	1	0	0	4	1
ENST00000492644	ENSG00000175110	0	1	0	0	0	0
ENST00000492657	ENSG00000185686	1	2.5	1.13308	2	0	0.5
ENST00000492664	ENSG00000162909	1	0	1	0	0	0
ENST00000492670	ENSG00000203780	3	1	1	0	0	0
ENST00000492672	ENSG00000141030	0	0	0	1	0	0
ENST00000492674	ENSG00000066923	0	0	0	0	0	1
ENST00000492689	ENSG00000138162	1	0	0.94341	0	0	1
ENST00000492691	ENSG00000204469	0.34657	1	0	0	0	0.99102
ENST00000492695	ENSG00000198034	1	0	0	1	1	1
ENST00000492697	ENSG00000112294	0	0	0	0	3.50831	0
ENST00000492721	ENSG00000101084	22	34	16	13	5	5
ENST00000492723	ENSG00000100284	0	0.01604	0	0	0	0
ENST00000492727	ENSG00000242960	1	1	2	2	3	1
ENST00000492735	ENSG00000173614	0	0	0	0	0.04881	0
ENST00000492739	ENSG00000065518	1	1	0	2	0	2
ENST00000492741	ENSG00000121390	29	45	48	10	10	13
ENST00000492758	ENSG00000128524	90	78	84	15	24	18
ENST00000492779	ENSG00000131051	3	0	0	0	0	0
ENST00000492784	ENSG00000136802	1	2	1	59	33	37
ENST00000492786	ENSG00000293352	10	9	8	0	0	0
ENST00000492791	ENSG00000182858	1	1	0	0	0	0
ENST00000492795	ENSG00000172340	2	1	0	1	0	0
ENST00000492806	ENSG00000244607	0	2	1.88306	0	0	0
ENST00000492815	ENSG00000081177	0	1	0	0	0	1
ENST00000492821	ENSG00000100325	18.8548	11.5062	15.9749	18.72242	7.43601	8.91224
ENST00000492823	ENSG00000058673	0	0	0.84475	0	0	0
ENST00000492836	ENSG00000146223	3	0	0	0	1	0
ENST00000492837	ENSG00000290830	56	55	57	21	8	11
